                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38445,                0.88195,                0.83752,                0.99838,                0.99821,                0.99495,                 0.9827,                0.19369,                0.25765,                0.77612,              0.0033331,              0.0033331,              0.0033331
                      2,                0.29298,                0.37956,                0.80781,                0.99939,                 0.9991,                0.99498,                0.98828,                0.16992,                 0.1735,                  0.772,              0.0063364,              0.0063364,              0.0063364
                      3,                0.27757,                0.30097,                0.80527,                0.99953,                0.99962,                0.99499,                0.99079,                0.16081,                0.14807,                0.77084,              0.0090098,              0.0090098,              0.0090098
                      4,                0.24546,                0.25443,                0.80095,                0.99957,                0.99958,                  0.995,                0.99197,                0.15513,                0.12775,                0.76996,               0.008515,               0.008515,               0.008515
                      5,                0.21295,                0.21745,                0.79535,                0.99961,                0.99969,                  0.995,                0.99252,                0.15057,                0.11644,                0.76879,                0.00802,                0.00802,                0.00802
                      6,                0.19433,                0.19941,                0.79162,                 0.9997,                 0.9997,                  0.995,                0.99279,                0.14761,                0.11139,                 0.7678,               0.007525,               0.007525,               0.007525
                      7,                0.18251,                0.18708,                0.78914,                 0.9997,                0.99964,                  0.995,                0.99297,                0.14617,                0.10925,                  0.767,                0.00703,                0.00703,                0.00703
                      8,                0.17304,                0.17776,                0.78769,                0.99969,                 0.9997,                  0.995,                0.99308,                0.14558,                0.10807,                 0.7668,               0.006535,               0.006535,               0.006535
                      9,                0.16542,                0.16976,                0.78666,                0.99965,                0.99972,                  0.995,                0.99312,                0.14533,                0.10705,                0.76688,                0.00604,                0.00604,                0.00604
                     10,                0.15863,                0.16232,                0.78513,                0.99968,                0.99976,                  0.995,                0.99317,                 0.1449,                0.10595,                 0.7666,               0.005545,               0.005545,               0.005545
                     11,                0.14063,                0.14045,                0.77799,                0.99972,                0.99976,                  0.995,                0.99322,                0.14491,                0.10542,                0.76625,                0.00505,                0.00505,                0.00505
                     12,                0.13353,                0.13404,                0.77712,                0.99971,                0.99982,                  0.995,                0.99327,                0.14463,                0.10465,                 0.7663,               0.004555,               0.004555,               0.004555
                     13,                0.12796,                0.12783,                0.77601,                0.99971,                0.99983,                  0.995,                0.99338,                0.14397,                0.10358,                0.76609,                0.00406,                0.00406,                0.00406
                     14,                0.12271,                0.12369,                0.77515,                0.99974,                0.99981,                  0.995,                0.99343,                0.14324,                 0.1021,                0.76604,               0.003565,               0.003565,               0.003565
                     15,                0.11622,                0.11652,                0.77339,                0.99977,                 0.9998,                  0.995,                0.99352,                0.14234,                0.10065,                0.76565,                0.00307,                0.00307,                0.00307
                     16,                0.11094,                0.11118,                0.77218,                0.99975,                0.99984,                  0.995,                0.99356,                0.14091,                0.09843,                0.76482,               0.002575,               0.002575,               0.002575
                     17,                0.10527,                0.10537,                0.77187,                0.99977,                0.99983,                  0.995,                0.99358,                0.13996,                0.09644,                0.76415,                0.00208,                0.00208,                0.00208
                     18,                0.09958,                0.09848,                 0.7709,                0.99974,                 0.9999,                  0.995,                0.99363,                0.13877,                0.09456,                0.76357,               0.001585,               0.001585,               0.001585
                     19,                0.09413,                0.09203,                0.77062,                0.99977,                0.99985,                  0.995,                0.99375,                0.13767,                0.09265,                0.76338,                0.00109,                0.00109,                0.00109
                     20,                0.08817,                0.08524,                0.77034,                0.99981,                0.99985,                  0.995,                0.99376,                0.13652,                0.09068,                 0.7635,               0.000595,               0.000595,               0.000595
